ID	SENTENCE	HEAD WORD	DEPENDENT WORD	RELATION	CORRECT?
2684	Any sale of Intelogic could have an impact on the battle between Mr. Edelman and New York attorney Martin Ackerman for control of Datapoint .	have	impact	dobj
4711	Index arbitrage , Mr. Carpenter said last week , does n't have a `` negative impact on the market as a whole '' and Kidder 's customers were `` sophisticated '' enough to know that .	have	impact	dobj
4886	The high court 's action , refusing to hear appeals by several drug companies , is likely to have a significant impact at several levels .	have	impact	dobj
5327	Despite the progress , Boeing indicated that the work stoppage , now in its 27th day , will have `` a serious adverse impact '' on the current quarter .	have	impact	dobj
6600	`` The fact that he is in the process of defending himself against the present charges could conceivably have an adverse impact on Y&R , '' Mr. Kroll wrote .	have	impact	dobj
7266	He says he told Mr. Guber he could n't sign any documents and that `` the deal , although apparently a good one for him and Mr. Peters , would have a very negative impact on Warner . ''	have	impact	dobj
7453	The semiconductor concern said the interruption in shipment of its 80486 computer chip will be brief and have little impact on the company 's earnings .	have	impact	dobj
7679	Chief Executive Officer Michael Carpenter said that despite the outcry even by some of Kidder 's own brokers , he believes index arbitrage does n't have a `` negative impact on the market as a whole .	have	impact	dobj
8674	Mr. Lagnado said strength in employment appears to have the biggest impact on sales growth .	have	impact	dobj
9355	But he also pointed out that the recalls will have no impact on GE 's engine production .	have	impact	dobj
11146	Unless Mr. Lawson 's resignation leads to a change in British interest-rate policy -- Mrs. Thatcher 's administration firmly supports high interest rates to keep inflation in check -- or posturing toward full inclusion in the European Monetary System 's exchange-rate mechanism , Mr. Lawson 's withdrawal will have little long-term impact on exchange rates , Mr. Chandross concluded .	have	impact	dobj
11483	`` The 486 is going to have a big impact on the industry , '' said Hewlett-Packard 's Mr. Archuleta .	have	impact	dobj
11567	Mr. Breeden contended that discretionary power could have an impact on the markets if rumors were to circulate about when the exchanges might be closed .	have	impact	dobj
16463	But a spokesman said the quake wo n't have as big a financial impact on Allstate as Hurricane Hugo did .	have	impact	dobj
17103	Such orders can have a wide-ranging impact on third parties who do business with the defendants , including clients , vendors , banks , investors , creditors , dependents , and others .	have	impact	dobj
19417	The failed rights issue also should have a modest impact on British Air shares .	have	impact	dobj
20212	`` I am convinced that a monetary policy for this country that would return interest rates to the historical level of 4 % or 5 % would have not only an immediate impact on housing starts , the housing stock , our industry in America , the refurbishing of our industrial system , it would help the Third World economies considerably and it would particularly have a favorable impact upon our budget deficit , '' Mr. Kemp said .	have	impact	dobj
20212	`` I am convinced that a monetary policy for this country that would return interest rates to the historical level of 4 % or 5 % would have not only an immediate impact on housing starts , the housing stock , our industry in America , the refurbishing of our industrial system , it would help the Third World economies considerably and it would particularly have a favorable impact upon our budget deficit , '' Mr. Kemp said .	have	impact	dobj
21877	`` The range of expectations is so broad , '' a dealer at another major U.K. brokerage firm said , `` the deficit may have to be nearer or above # 2 billion for it to have any impact on the market . ''	have	impact	dobj
27690	As for property and casualty insurers , Moody 's said `` preliminary estimates suggest that losses should not have a significant impact on most insurers ' financial condition , '' but it `` raises concerns about potentially substantial risks '' longer-term .	have	impact	dobj
29609	A lawyer for Lawyers Title said that , because the named companies no longer use the type of cooperative rating bureaus attacked by the FTC , the commission 's order wo n't have much practical impact .	have	impact	dobj
30210	Echoing the response of almost all big corporations in the Bay Area , Don Waite , Seagate 's chief financial officer , said , `` I would n't expect this to have any significant financial impact . ''	have	impact	dobj
30819	The Nuclear Regulatory Commission ruled unanimously that the financial troubles facing the Seabrook , N.H. , nuclear-power plant have no impact on whether the plant receives a full-power license .	have	impact	dobj
32445	`` This decision will have a very considerable impact , '' said Kenneth Abraham , professor of environmental law and insurance law at the University of Virginia , because many commercial insurance policies are issued by companies based in New York .	have	impact	dobj
34209	Granges did n't say what impact the moves would have on total gold output or earnings , and company officials were n't available .	have	impact	dobj
34376	Britain 's Monopolies and Mergers Commission Wednesday cleared Rhone-Poulenc S.A. 's purchase of a specialty bulk-chemical unit from Monsanto Co. , saying the purchase was unlikely to have any lasting impact on U.K. industrial consumers .	have	impact	dobj
34725	Dow has n't said exactly what impact the Marion acquisition will have on 1989 earnings .	have	impact	dobj
34937	But some market players still think earthquake speculation could have more impact on the oil markets .	have	impact	dobj
35193	Why should it be so surprising that a 30 % cut in the capital-gains tax would have such an enormous impact on the value of the nation 's capital stock ?	have	impact	dobj
37910	The payments are n't expected to have an impact on coming operating results , Linear added .	have	impact	dobj
38463	Whether a trade is done on a dual or non-dual basis , the member said , `` does n't seem to have much economic impact . ''	have	impact	dobj
5259	The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .	one	experience	nmod
11716	HUD has no paper work whatsoever on 30 of the projects , none of the others has been approved and not a single congressional hearing has been held on any of them .	work	no	neg
281	Liberty National Bancorp said its acquisition of Florence Deposit Bank , Florence , Ky. , first announced in April , has been completed in a transaction valued at $ 13.1 million .	completed	been	auxpass
9377	CNW Corp. said the final step in the acquisition of the company has been completed with the merger of CNW with a subsidiary of Chicago & North Western Holdings Corp .	completed	been	auxpass
14767	Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds , because federal regulations , such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries , have n't yet been completed .	completed	been	auxpass
14771	Although many of the transactions related to those securities have n't been completed , Columbia said the ultimate gain on the sale of those assets will range from $ 200 million to $ 300 million .	completed	been	auxpass
15531	The TW prospectus says that if the acquisition had been completed earlier , pretax earnings `` would have been insufficient to cover its fixed charges , including interest on debt securities , '' by approximately $ 62.7 million in the first six months of 1989 .	completed	been	auxpass
18327	Details of the escrow agreement have n't been completed , the companies said .	completed	been	auxpass
21980	Neither suit lists specific dollar claims , largely because damage assessment has n't yet been completed .	completed	been	auxpass
32579	The first phase of the program has been completed , but two other phases are continuing .	completed	been	auxpass
37927	The company said the acquisition has been completed and reviewed by the Federal Trade Commission .	completed	been	auxpass
2478	The acquisition brings together the two largest competitors to Home Shopping Network Inc. , which now reaches more viewers than any other company in the video shopping industry .	brings	together	advmod
16990	This figure could be estimated using techniques employed by private lenders to forecast losses , or determined by selling loans to private owners ( without federal guarantees ) .	using	techniques	dobj
381	Dow Chemical Co. , Midland , Mich. , and Eli Lilly & Co. , Indianapolis , said they completed the formation of Dow Elanco , a joint venture combining their plant-sciences businesses as well as Dow 's industrial pest-control business .	as	well	mwe
413	Individuals and corporations , as well as dealers trading for their own account , actively bought Tuesday .	as	well	mwe
584	Concerns about the pace of the Vienna talks -- which are aimed at the destruction of some 100,000 weapons , as well as major reductions and realignments of troops in central Europe -- also are being registered at the Pentagon .	as	well	mwe
1180	`` We think there will be positive as well as negative reactions , '' says Raymond Pettit , senior vice president and chief financial officer of Rockefeller Group .	as	well	mwe
1371	I attended several of these in the dual role as a presenter of research findings as well as an investigator of my hosts .	as	well	mwe
1457	The office will tap the resources of Sidley 's 700 lawyers in the U.S. , London and Singapore as well as the 400 Ashurst staff members in London and Brussels .	as	well	mwe
2253	Officials proposed a cut in the defense budget this year to 70.9 billion rubles ( US$ 114.3 billion ) from 77.3 billion rubles ( US$ 125 billion ) as well as large cuts in outlays for new factories and equipment .	as	well	mwe
2306	Any major attempt to revamp the health-care system is likely to trigger opposition from politically powerful interest groups , particularly the American Medical Association , and perhaps from the public as well , if Congress takes steps that patients fear will limit the availability of care .	as	well	mwe
2389	But many analysts believe that , given the attractiveness of paper companies ' cash flows , as well as the frantic consolidation of the paper industry in Europe , there will be at least a few more big hostile bids for U.S. companies within the next several months .	as	well	mwe
2883	The two leaders are expected to discuss changes sweeping the East bloc as well as human-rights issues , regional disputes and economic cooperation .	as	well	mwe
2974	The program trading situation seems to have driven individual investors as well as others out of the market , and even Europeans are suspicious .	as	well	mwe
3230	Subsequently , I have learned that a private group , of which Du Pont is a part , is funding a modest program to continue data gathering at the Scotto report stations as well as to develop more sophisticated UVB measuring instruments .	as	well	mwe
3317	It 's Mike 's challenge as well . ''	as	well	mwe
3366	And we 'll raise it through existing shareholders '' as well as through junk bonds , said Anthony Simonds-Gooding , the private consortium 's chief executive .	as	well	mwe
4301	Japan normally depends heavily on the Highland Valley and Cananea mines as well as the Bougainville mine in Papua New Guinea .	as	well	mwe
4424	First Boston incurred millions of dollars of losses on Campeau securities it owned as well as on special securities it could n't sell .	as	well	mwe
4426	Moody 's said its rating changes actions `` reflect CS First Boston 's aggressive merchant banking risk as well as the risk profile of its current merchant banking exposures . ''	as	well	mwe
4558	Corporate pride as well as the close ties common among Japanese manufacturers help explain why .	as	well	mwe
4666	In the quarterly balance-of-payments report , those merchandise trade figures are merged with statistics on exports and imports of services , as well as returns on investments abroad by Americans and returns on foreign investments in the U.S. .	as	well	mwe
4889	On a broader scale , the ruling could encourage other states ' courts to adopt the logic of the New York court , not only in DES cases but in other product-related lawsuits , as well .	as	well	mwe
4947	They , as well as numerous Latin American and East European countries that hope to adopt elements of the Spanish model , are supporting the direction Spain is taking .	as	well	mwe
5080	Oncogenes must be present for a cell to become malignant , but researchers have found them in normal as well as in cancerous cells , suggesting that oncogenes do n't cause cancer by themselves .	as	well	mwe
5156	Recently , he and others reported that the retinoblastoma suppressor gene may also be involved in some lung cancers , as well as several other more common cancers , too .	as	well	mwe
5196	Company President Steve Papetti says Marriott will be among his clients as well .	as	well	mwe
5524	The pact calls for the Times to pay dealers $ 3.6 million over six years , as well as other payments in the form of subsidies over three years , based on the number of `` new customers started by the dealers and on pricing structures , '' the Times said .	as	well	mwe
5799	That acquisition , which also included the assumption of $ 135 million in debt , was designed to allow Georgia-Pacific to capitalize on the strong demand for softwood pulp , as well as reduce its exposure to the housing market .	as	well	mwe
6224	It 's a matter of being close to those suppliers ; many of those companies do n't know us as well as they should . ''	as	well	mwe
6487	In a less glamorous field , Akzo is the world 's biggest producer of industrial salt , used as a raw material for the chemical industry as well as for such tasks as melting ice .	as	well	mwe
6619	The loss in the fourth quarter of 1988 reflected in part expenses for an unsuccessful bid for Federated Department Stores Inc. , as well as the restructuring of some of its department store operations .	as	well	mwe
6635	Mr. Finkelstein is apparently referring to B. Altman and Bonwit Teller , two New York retailers that have recently filed for Chapter 11 bankruptcy protection , as well as the retail chains owned by financially troubled Campeau Corp .	as	well	mwe
6649	Louis Gerstner Jr. , chairman and chief executive officer of New York-based RJR , called the sale a `` significant step '' in the company 's divestiture program , as well as a `` a strategic divestiture . ''	as	well	mwe
6811	`` The team included craftsmen from the shop floor as well as engineering , scheduling and purchasing personnel , '' reports Alan Westendorf , director of quality .	as	well	mwe
6847	The study says that the `` ambiguous legal status '' of home copying makes it `` appropriate to examine the effects on consumers , as well as on industry . ''	as	well	mwe
6868	However , the Swiss financial press in general , as well as many analysts , have had a hard time making up their minds about Mr. Rey and his un-Swiss ways .	as	well	mwe
7135	In recent months a group of lenders , led by Bank of America , has extended Control Data up to $ 90 million in revolving loans through January , as well as $ 115 million in standby letters of credit .	as	well	mwe
7306	The increase reflects spending on the S&L rescue as well as payroll and Social Security checks normally issued in October that were issued in September this year because Oct. 1 fell on a Sunday .	as	well	mwe
7348	Such risk taking is an everyday matter for the brash Mr. Nadir , who is 25 % owner of Polly Peck as well as its chairman .	as	well	mwe
7418	Kidder Peabody does program trading for its own as well as clients ' accounts .	as	well	mwe
7444	Weakness in big technology stocks hurt the composite as well as the Nasdaq 100 Index , which fell 1.4 % , or 6.43 , on Friday , to 437.68 .	as	well	mwe
7616	Mr. Bush has pledged as well to respect the 14-year-old executive order barring U.S. agents from assassinating foreign leaders or helping others to do so .	as	well	mwe
8081	But the Memphis , Tenn. , facility was n't to begin turning out product until 1993 , so the decision may reveal a more pessimistic long-term outlook as well .	as	well	mwe
8321	Treasury officials say the Costa Rican agreement demonstrates that the Brady debt plan can benefit small debtor countries as well as big debtors , such as Mexico .	as	well	mwe
8331	The department will make payment for bills maturing on Nov. 2 to all investors who have requested reinvestment of their bills on that date , as well as to all account holders who have previously requested payment .	as	well	mwe
